Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2017,993,Auburn Board of Public Works,A,Bundled,O,NE,Municipal,SWPP,"2,215.00","23,303","1,857","2,711.00","29,459",913,281,"2,828",1,.,.,.,"5,207.00","55,590","2,771"
2017,994,City of Auburn - (IN),A,Bundled,O,IN,Municipal,PJM,"5,699.60","61,201","6,436","2,936.80","27,486",985,"30,041.20","337,989",136,.,.,.,"38,677.60","426,676","7,557"
2017,998,City of Augusta - (KS),A,Bundled,O,KS,Municipal,SWPP,"4,061.50","36,003","3,895","2,140.90","21,373",412,793.8,"8,663",24,.,.,.,"6,996.20","66,039","4,331"
2017,1009,City of Austin - (MN),A,Bundled,O,MN,Municipal,MISO,"10,523.50","75,834","10,468","14,442.00","131,572","1,710","10,929.70","128,511",1,.,.,.,"35,895.20","335,917","12,179"
2017,1015,Austin Energy,A,Bundled,O,TX,Municipal,ERCO,"461,460.30","4,314,170","424,554","543,609.90","5,748,031","51,086","174,409.80","2,843,360",104,.,.,.,"1,179,480.00","12,905,561","475,744"
2017,1024,City of Ava - (MO),A,Bundled,O,MO,Municipal,AECI,829,"10,925","1,198",315,"4,336",297,"1,887.00","45,984",49,0,0,0,"3,031.00","61,245","1,544"
2017,1036,Town of Ayden - (NC),A,Bundled,O,NC,Municipal,CPLE,"5,305.70","43,798","3,592","3,089.70","26,713",478,"2,528.60","31,276",1,.,.,.,"10,924.00","101,787","4,071"
2017,1050,City of Azusa,A,Bundled,O,CA,Municipal,CISO,"11,498.00","86,287","14,667","15,201.00","82,792","1,854","10,146.00","86,896",34,.,.,.,"36,845.00","255,975","16,555"
2017,1062,BARC Electric Coop Inc,A,Bundled,O,VA,Cooperative,PJM,"15,561.80","121,043","11,944","5,608.20","52,358",779,.,.,.,.,.,.,"21,170.00","173,401","12,723"
2017,1101,Bagley Public Utilities Comm,A,Bundled,O,MN,Municipal,MISO,697.2,"5,488",546,396,"3,430",145,"1,617.10","15,194",70,.,.,.,"2,710.30","24,112",761
2017,1148,City of Baldwin City- (KS),A,Bundled,O,KS,Municipal,SWPP,"2,353.10","16,267","1,741","1,960.70","14,424",241,.,.,.,.,.,.,"4,313.80","30,691","1,982"
2017,1149,Baldwin County El Member Corp,A,Bundled,O,AL,Cooperative,AEC,"107,591.00","884,595","67,787","45,047.00","463,132","7,078",.,.,.,.,.,.,"152,638.00","1,347,727","74,865"
2017,1167,Baltimore Gas & Electric Co,A,Bundled,O,MD,Investor Owned,PJM,"1,262,877.30","8,944,070","872,518","312,166.20","2,576,385","65,620","13,790.70","125,435","3,103",.,.,.,"1,588,834.20","11,645,890","941,241"
2017,1167,Baltimore Gas & Electric Co,C,Delivery,O,MD,Investor Owned,PJM,"165,359.50","3,149,792","282,879","388,541.80","12,743,588","54,299","29,818.60","1,155,341","2,622","2,159.70","276,155",3,"585,879.60","17,324,876","339,803"
2017,1169,Bailey County Elec Coop Assn,A,Bundled,O,TX,Cooperative,SWPP,"2,856.10","24,276","3,395","4,942.50","50,164",795,"17,931.70","170,715","4,734",.,.,.,"25,730.30","245,155","8,924"
2017,1175,"Bandera Electric Coop, Inc",A,Bundled,O,TX,Cooperative,ERCO,"43,195.30","408,561","30,087","13,867.10","153,184","5,306","1,470.90","20,154",59,.,.,.,"58,533.30","581,899","35,452"
2017,1176,City of Bandon - (OR),A,Bundled,O,OR,Municipal,BPAT,"3,034.00","35,667","2,970","2,460.00","28,099",848,155,"1,549",2,0,0,0,"5,649.00","65,315","3,820"
2017,1179,Emera Maine,A,Bundled,O,ME,Investor Owned,NBSO,"25,113.30","183,789","28,835","12,541.60","89,917","6,582","3,564.60","38,706",117,0,0,0,"41,219.50","312,412","35,534"
2017,1179,Emera Maine,A,Bundled,O,ME,Investor Owned,ISNE,"107,149.90","568,684","95,627","55,368.10","487,196","15,427","1,702.10","14,196",27,0,0,0,"164,220.10","1,070,076","111,081"
2017,1179,Emera Maine,C,Delivery,O,ME,Investor Owned,NBSO,11.2,169,53,661.5,"9,509",370,"3,994.10","197,167",85,0,0,0,"4,666.80","206,845",508
2017,1179,Emera Maine,C,Delivery,O,ME,Investor Owned,ISNE,"5,570.40","50,268","8,070","10,626.70","116,414","2,851","9,857.00","180,925",23,0,0,0,"26,054.10","347,607","10,944"
2017,1181,Village of Bangor - (WI),A,Bundled,O,WI,Municipal,MISO,"1,505.70","11,540","1,305","1,164.00","9,469",439,454.4,"4,223",8,.,.,.,"3,124.10","25,232","1,752"
2017,1192,City of Banning - (CA),A,Bundled,O,CA,Municipal,CISO,"14,902.30","73,845","10,985","11,518.40","55,493","1,132","2,337.40","15,999",12,.,.,.,"28,758.10","145,337","12,129"
2017,1196,Village of Baraga - (MI),A,Bundled,O,MI,Municipal,MISO,379,"2,886",652,"2,053.00","16,290",242,0,0,0,0,0,0,"2,432.00","19,176",894
2017,1201,Barbourville Utility Comm,A,Bundled,O,KY,Municipal,LGEE,"4,026.30","38,879","3,430",701.6,"6,956",513,"3,554.20","42,653",185,.,.,.,"8,282.10","88,488","4,128"
2017,1233,City of Barnesville - (MN),A,Bundled,O,MN,Municipal,MISO,"1,578.80","16,933","1,193",473.7,"4,897",129,.,.,.,.,.,.,"2,052.50","21,830","1,322"
2017,1251,Barron Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"25,252.00","192,140","18,106","3,251.00","32,448",206,"9,603.00","129,605",165,.,.,.,"38,106.00","354,193","18,477"
2017,1273,"Bartlett Electric Coop, Inc",A,Bundled,O,TX,Cooperative,ERCO,"16,497.60","153,436","10,790","3,692.10","36,096",987,0,0,0,0,0,0,"20,189.70","189,532","11,777"
2017,1276,"Barrow Utils & Elec Coop, Inc",A,Bundled,O,AK,Cooperative,NA,"1,486.00","11,243","1,513","4,469.40","37,922",500,.,.,.,.,.,.,"5,955.40","49,165","2,013"
2017,1279,Barry Electric Coop,A,Bundled,O,MO,Cooperative,AECI,"12,318.50","105,857","8,433","4,472.50","46,799","1,278","1,265.90","15,684",3,.,.,.,"18,056.90","168,340","9,714"
2017,1283,Bartholomew County Rural E M C,A,Bundled,O,IN,Cooperative,MISO,"19,025.00","148,983","10,918","4,371.00","41,016",635,"16,772.00","213,713",11,.,.,.,"40,168.00","403,712","11,564"
2017,1300,City of Bartow - (FL),A,Bundled,O,FL,Municipal,FPC,"17,568.00","135,411","10,533","8,821.00","69,602","1,445","7,894.00","63,951",288,.,.,.,"34,283.00","268,964","12,266"
2017,1301,"Barton County Elec Coop, Inc",A,Bundled,O,MO,Cooperative,AECI,"10,346.00","77,955","5,906","4,061.00","36,555",651,"1,858.00","30,967",6,.,.,.,"16,265.00","145,477","6,563"
2017,1307,Basin Electric Power Coop,A,Bundled,O,ND,Cooperative,SWPP,.,.,.,.,.,.,"54,121.00","1,021,838",1,.,.,.,"54,121.00","1,021,838",1
2017,1307,Basin Electric Power Coop,A,Bundled,O,WY,Cooperative,WACM,.,.,.,25,435,1,.,.,.,.,.,.,25,435,1
2017,1325,City of Batavia - (IL),A,Bundled,O,IL,Municipal,PJM,"12,050.20","85,510","9,596","18,486.60","157,845","1,323","16,447.90","173,548",10,.,.,.,"46,984.70","416,903","10,929"
2017,1366,City of Bay City - (MI),A,Bundled,O,MI,Municipal,MISO,"16,979.00","129,556","17,858","15,765.00","127,254","2,221","5,531.00","51,131",127,.,.,.,"38,275.00","307,941","20,206"
2017,1367,"Bayfield Electric Coop, Inc",A,Bundled,O,MI,Cooperative,MISO,50,170,65,.,.,.,.,.,.,.,.,.,50,170,65
2017,1367,"Bayfield Electric Coop, Inc",A,Bundled,O,WI,Cooperative,MISO,"12,287.00","68,319","8,865","1,030.00","9,136",70,.,.,.,.,.,.,"13,317.00","77,455","8,935"
2017,1417,"Beartooth Electric Coop, Inc",A,Bundled,O,MT,Cooperative,NWMT,"6,504.30","48,153","5,142","1,178.00","10,285",533,139.6,"1,449",1,.,.,.,"7,821.90","59,887","5,676"
2017,1417,"Beartooth Electric Coop, Inc",A,Bundled,O,WY,Cooperative,NWMT,595.1,"4,646",399,245.7,"2,186",83,.,.,.,.,.,.,840.8,"6,832",482
2017,1427,City of Beatrice - (NE),A,Bundled,O,NE,Municipal,SWPP,"6,660.30","65,812","5,761","2,510.40","25,006",880,"6,685.30","87,225",124,.,.,.,"15,856.00","178,043","6,765"
2017,1456,Town of Bedford - (VA),A,Bundled,O,VA,Municipal,PJM,"10,280.00","78,494","5,730","4,931.80","39,666",870,"5,293.70","85,392",29,0,0,0,"20,505.50","203,552","6,629"
