Utility Characteristics,,,,,,Demand,,Energy Sources (Megawatthours),,,,,,,,,,Disposition,,,,,,Electric Revenues,,,,,,,
,,,,,,(Megawatts),,,,Power Exchanged,,,Wheeled Power,,,,,(Megawatthours),,,,,,(Thousands Dollars),,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,Summer Peak Demand,Winter Peak Demand,Net Generation,Wholesale Power Purchases,Exchange Energy Received,Exchange Energy Delivered,Net Power Exchanged,Wheeled Power Received,Wheeled Power Delivered,Net Wheeled Power,Transmission by Other Losses,Total Sources,Retail Sales,Sales for Resale,Furnished without Charge,Consumed by Respondent without Charge,Total Energy Losses,Total Disposition,From Retail Sales,From Delivery Customers,From Sales for Resale,From Credits or Adjustments,From Transmission,From Other,Total,"Data Type
O = Observed
I = Imputed"
2019,540,BP Energy Company,TX,Retail Power Marketer,TRE,13,13,0,"897,418",0,0,0,0,0,0,0,"897,418","897,418",0,0,0,0,"897,418","28,792.00",0,0,0,0,0,"28,792.00",O
2019,554,City of Ames - (IA),IA,Municipal,MRO,155.9,117.3,"126,113","663,514",0,0,0,0,0,0,0,"789,627","639,455","121,333",0,445,"28,394","789,627","57,695.10",0,"2,884.80",0,"1,455.20","8,127.70","70,162.80",O
2019,560,City of Amherst- (OH),OH,Municipal,RFC,29.6,18.3,0,"109,030",0,0,0,0,0,0,0,"109,030","107,005",0,0,0,"2,025","109,030","12,751.00",0,0,0,0,0,"12,751.00",O
2019,562,Amicalola Electric Member Corp,GA,Cooperative,SERC,190.7,204.5,0,"809,836",0,0,0,0,0,0,0,"809,836","786,387",0,0,"1,087","22,362","809,836","89,629.50",0,0,0,0,39.7,"89,669.20",O
2019,571,City of Amory,MS,Municipal,SERC,28.3,21.5,0,"133,156",0,0,0,0,0,0,0,"133,156","129,268",0,0,0,"3,888","133,156","13,167.00",0,0,0,0,347.4,"13,514.40",O
2019,577,City of Alcoa Utilities,TN,Municipal,SERC,137.2,154.2,0,"649,867",0,0,0,0,0,0,0,"649,867","622,904",0,0,15,"26,948","649,867","67,401.00",0,0,0,0,"2,151.70","69,552.70",O
2019,588,Anadarko Public Works Authority,OK,Municipal,SPP,16.2,19.1,"7,640","46,458",0,0,0,0,0,0,0,"54,098","54,098",0,0,0,0,"54,098","4,891.00",0,0,0,0,0,"4,891.00",O
2019,590,City of Anaheim - (CA),CA,Municipal,WECC,530,299,"22,353","3,009,839",0,0,0,0,0,0,0,"3,032,192","2,237,118","718,305",0,0,"76,769","3,032,192","362,872.00",0,"38,138.00",0,"38,677.00","4,495.00","444,182.00",O
2019,599,Anchorage Municipal Light and Power,AK,Municipal,AK,153,150,"1,125,455","66,345",0,0,0,0,0,0,0,"1,191,800","923,428","230,750",0,0,"37,622","1,191,800","158,568.60",0,"10,803.50","-3,467.10",0,885.5,"166,790.50",O
2019,604,City of Andalusia,AL,Municipal,SERC,63.4,47.9,0,"383,269",0,0,0,0,0,0,0,"383,269","379,208",0,0,0,"4,061","383,269","28,293.00",0,0,0,0,0,"28,293.00",O
2019,636,City of Anderson - (IN),IN,Municipal,RFC,187.2,145.8,0,"911,366",0,0,0,0,0,0,0,"911,366","866,516",0,0,0,"44,850","911,366","81,632.20",0,0,0,0,"1,088.00","82,720.20",O
2019,659,American Transmission Co,WI,Transmission,,"12,499.00","9,610.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,603.90","730,897.00","1,799.70","746,300.60",O
2019,661,Village of Andover - (NY),NY,Municipal,NPCC,1,2,0,"7,071",0,0,0,0,0,0,0,"7,071","7,071",0,0,0,0,"7,071",308,0,0,0,0,0,308,O
2019,669,Village of Angelica - (NY),NY,Municipal,NPCC,0.8,1.3,0,"10,897",0,0,0,0,0,0,0,"10,897","10,025",0,0,33,839,"10,897",694.3,0,0,0,0,59.7,754,O
2019,682,City of Anita - (IA),IA,Municipal,MRO,2.1,1.9,45,"9,673",0,0,0,0,0,0,0,"9,718","8,732",0,193,0,793,"9,718",738.5,0,0,0,0,8.9,747.4,O
2019,689,Connexus Energy,MN,Cooperative,MRO,427.6,317.9,"14,388","2,006,063",0,0,0,0,0,0,0,"2,020,451","1,956,330",0,0,0,"64,121","2,020,451","236,417.20",0,0,0,0,0,"236,417.20",O
2019,690,City of Bardstown - (KY),KY,Municipal,RFC,38.2,30.3,0,"207,660",0,0,0,0,0,0,0,"207,660","200,677",0,0,0,"6,983","207,660","18,159.00",0,0,0,0,0,"18,159.00",O
2019,691,City of Anoka,MN,Municipal,MRO,60.6,38,0,"273,028",0,0,0,0,0,0,0,"273,028","267,006",0,0,0,"6,022","273,028","28,948.00",0,0,0,0,194,"29,142.00",O
2019,694,Anza Electric Coop Inc,CA,Cooperative,WECC,14,13.4,0,"63,695",0,0,0,0,0,0,0,"63,695","61,032",0,0,168,"2,495","63,695","11,402.00",0,0,0,0,9.6,"11,411.60",O
2019,695,City of Ansley - (NE),NE,Municipal,MRO,1.1,0.8,12,"4,547",0,0,0,0,0,0,0,"4,559","3,926",0,0,321,312,"4,559",624,0,0,0,0,0,624,O
2019,700,City of Anthon - (IA),IA,Municipal,MRO,2,2,0,"6,593",0,0,0,0,0,0,0,"6,593","6,323",0,0,0,270,"6,593",670,0,0,0,0,43,713,O
2019,701,City of Anthony - (KS),KS,Municipal,SPP,8.5,6.4,49,"38,191",0,0,0,0,0,0,0,"38,240","32,487",0,"1,069","2,531","2,153","38,240","3,971.00",0,0,0,0,599,"4,570.00",O
2019,712,Arkansas River Power Authority,CO,Political Subdivision,WECC,66.7,41.1,"18,922","270,911",0,0,0,0,0,0,0,"289,833",0,"281,128","8,705",0,0,"289,833",0,0,"28,820.90",0,0,0,"28,820.90",O
2019,719,Town of Apex- (NC),NC,Municipal,SERC,99.8,57.4,0,"368,511",0,0,0,0,0,0,0,"368,511","341,460",0,"1,995","10,887","14,169","368,511","33,264.10",0,0,0,0,0,"33,264.10",O
2019,723,City of Aplington,IA,Municipal,MRO,2,1,0,"7,526",0,0,0,0,0,0,0,"7,526","6,526",0,"1,000",0,0,"7,526",796,0,0,0,0,54,850,O
2019,727,Appalachian Electric Coop,TN,Cooperative,SERC,193.3,263.1,0,"982,658",0,0,0,0,0,0,0,"982,658","941,700",0,0,"1,219","39,739","982,658","105,267.00",0,0,0,0,"3,408.30","108,675.30",O
2019,733,Appalachian Power Co,OH,Investor Owned,RFC,"5,537.00","7,319.00","23,728,702","11,600,605",0,0,0,0,0,0,0,"35,329,307","27,535,149","5,820,714",464,0,"1,972,980","35,329,307","2,503,624.00","1,064.00","284,420.00","-10,384.00","117,675.00","49,830.00","2,946,229.00",O
2019,737,Aguila Irrigation District,AZ,Political Subdivision,WECC,8,5,0,"28,115",0,0,0,0,0,0,0,"28,115","26,569",0,0,0,"1,546","28,115","1,523.00",0,0,0,0,0,"1,523.00",O
2019,750,Arab Electric Coop Inc,AL,Cooperative,SERC,74.6,72.7,0,"332,813",0,0,0,0,0,0,0,"332,813","309,523",0,0,353,"22,937","332,813","33,879.00",0,0,0,0,"1,214.10","35,093.10",O
2019,752,City of Arapahoe - (NE),NE,Municipal,,3,3,0,"11,539",0,0,0,"11,539","10,006","1,533",0,"13,072","10,006",0,0,0,"3,066","13,072","1,483.20",0,0,0,0,0,"1,483.20",O
2019,765,City of Arcadia - (WI),WI,Municipal,MRO,16.7,14.6,257,"88,922",0,0,0,0,0,0,0,"89,179","87,220",0,0,0,"1,959","89,179","7,055.30",0,0,0,0,0,"7,055.30",O
2019,768,City of Arcanum - (OH),OH,Municipal,RFC,6,5.8,0,"22,045",0,0,0,0,0,0,0,"22,045","22,045",0,0,0,0,"22,045","2,594.00",0,0,0,0,0,"2,594.00",O
2019,789,Town of Argos,IN,Municipal,RFC,2.6,2.2,0,"26,348",0,0,0,0,0,0,0,"26,348","25,299",0,0,0,"1,049","26,348","2,835.00",0,0,0,0,0,"2,835.00",O
2019,792,City of Argyle - (WI),WI,Municipal,MRO,1.4,1.3,69,"6,775",0,5,-5,0,0,0,0,"6,839","6,478",0,0,0,361,"6,839",562.5,0,0,0,0,0,562.5,O
2019,796,Arizona Electric Pwr Coop Inc,AZ,Cooperative,WECC,695,403,"2,002,821","1,688,274","78,488","28,497","49,991","250,914","243,677","7,237",0,"3,748,323",0,"3,744,042",0,0,"4,281","3,748,323",0,0,"149,459.00",0,"22,206.00","7,024.00","178,689.00",O
2019,798,Arizona Power Authority,AZ,State,WECC,325,242.6,0,"719,626",0,0,0,0,0,0,0,"719,626",0,"719,626",0,0,0,"719,626",0,0,"22,114.40",0,0,0,"22,114.40",O
2019,803,Arizona Public Service Co,AZ,Investor Owned,WECC,"7,115.00","4,447.00","26,805,008","7,156,889","619,767","635,590","-15,823","49,261,444","49,261,444",0,0,"33,946,074","27,844,577","4,085,015",0,"60,396","1,956,086","33,946,074","3,333,394.00",0,"131,082.00","-62,759.20","63,108.30","11,949.10","3,476,774.20",O
