Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2019,803,Arizona Public Service Co,A,Bundled,O,AZ,Investor Owned,AZPS,"1,793,584.00","13,189,233","1,123,829","1,360,481.00","12,440,039","132,829","179,329.00","2,215,305","3,728",.,.,.,"3,333,394.00","27,844,577","1,260,386"
2019,814,Entergy Arkansas LLC,A,Bundled,O,AR,Investor Owned,MISO,"787,794.30","7,996,178","594,093","555,865.80","6,062,923","95,840","517,721.90","7,758,884","23,138",13.8,124,1,"1,861,395.80","21,818,109","713,072"
2019,814,Entergy Arkansas LLC,A,Bundled,O,TN,Investor Owned,MISO,1.6,17,1,3.7,26,4,1.7,6,3,0,0,.,7,49,8
2019,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,AR,Cooperative,SWPP,"81,942.50","774,904","51,385","17,279.50","182,044","3,938","12,794.80","242,779",39,0,0,0,"112,016.80","1,199,727","55,362"
2019,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,OK,Cooperative,SWPP,"6,587.80","60,080","4,039","2,766.50","30,909",500,0,0,0,0,0,0,"9,354.30","90,989","4,539"
2019,828,City of Arlington - (MN),A,Bundled,O,MN,Municipal,MISO,886.4,"8,093",948,907.1,"9,064",163,.,.,.,.,.,.,"1,793.50","17,157","1,111"
2019,831,City of Arlington - (SD),A,Bundled,O,SD,Municipal,SWPP,770.3,"6,555",496,605.8,"3,050",90,138.2,"1,165",3,.,.,.,"1,514.30","10,770",589
2019,832,City of Arma - (KS),A,Bundled,O,KS,Municipal,SWPP,"1,500.00","10,848",780,3,150,30,1,75,10,0,0,0,"1,504.00","11,073",820
2019,871,Village of Arnold - (NE),A,Bundled,O,NE,Municipal,SWPP,488,"3,892",340,412,"2,159",150,.,.,.,.,.,.,900,"6,051",490
2019,887,"Arrowhead Electric Coop, Inc",A,Bundled,O,MN,Cooperative,MISO,"6,916.20","46,535","3,856","3,321.60","28,600",434,.,.,.,.,.,.,"10,237.80","75,135","4,290"
2019,902,Town of Ashburnham - (MA),A,Bundled,O,MA,Municipal,ISNE,"2,956.40","21,820","2,852",212.9,"2,052",176,"1,220.00","9,935",36,.,.,.,"4,389.30","33,807","3,064"
2019,906,Town of Ashland,A,Bundled,O,NH,Municipal,ISNE,"1,465.00","9,083","1,368",786,"4,982",229,581,"4,202",4,.,.,.,"2,832.00","18,267","1,601"
2019,907,City of Ashland - (OR),A,Bundled,O,OR,Municipal,PACW,"8,466.00","89,544","10,605","5,354.00","53,144","1,490","2,413.00","33,706",173,0,0,0,"16,233.00","176,394","12,268"
2019,911,City of Ashland - (KS),A,Bundled,O,KS,Municipal,SWPP,475,"4,477",497,648,"8,582",206,.,.,.,.,.,.,"1,123.00","13,059",703
2019,918,City of Aspen- (CO),A,Bundled,O,CO,Municipal,PSCO,"3,342.00","24,246","2,035","4,634.00","44,057","1,058",.,.,.,.,.,.,"7,976.00","68,303","3,093"
2019,925,"Ashley Chicot Elec Coop, Inc",A,Bundled,O,AR,Cooperative,MISO,"6,435.00","55,849","4,258","2,847.00","19,501",643,64,554,2,.,.,.,"9,346.00","75,904","4,903"
2019,925,"Ashley Chicot Elec Coop, Inc",A,Bundled,O,LA,Cooperative,MISO,189,"1,656",114,.,.,.,.,.,.,.,.,.,189,"1,656",114
2019,942,Atchison-Holt Electric Coop,A,Bundled,O,IA,Cooperative,AECI,"1,378.00","10,054","1,003",613,"5,789",87,109,71,27,.,.,.,"2,100.00","15,914","1,117"
2019,942,Atchison-Holt Electric Coop,A,Bundled,O,MO,Cooperative,AECI,"3,258.00","23,779","1,913","1,449.00","13,691",167,"1,520.00","23,433",58,.,.,.,"6,227.00","60,903","2,138"
2019,944,City of Athens - (AL),A,Bundled,O,AL,Municipal,TVA,"67,625.00","668,834","41,017","37,875.00","349,457","7,156","13,055.00","226,356",12,0,0,0,"118,555.00","1,244,647","48,185"
2019,947,Athens Utility Board,A,Bundled,O,TN,Municipal,TVA,"16,427.00","159,080","11,038","17,510.00","159,898","2,333","17,492.00","338,214",8,0,0,0,"51,429.00","657,192","13,379"
2019,963,Atlantic City Electric Co,A,Bundled,O,NJ,Investor Owned,PJM,"622,706.10","3,527,588","440,613","172,672.70","1,211,827","45,622","14,376.90","150,536",393,0,0,0,"809,755.70","4,889,951","486,628"
2019,963,Atlantic City Electric Co,C,Delivery,O,NJ,Investor Owned,PJM,"37,114.00","438,653","52,403","154,976.30","2,830,244","19,196","22,324.60","629,076",332,0,0,0,"214,414.90","3,897,973","71,931"
