number,nationwide_number,name,sex,year_of_birth,nationality,Military,selection,year_of_selection,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,eva_hrs_mission,total_eva_hrs
334,212,"Gernhardt, Michael L.",male,1956,U.S.,FALSE,NASA Astronaut Group 16,1992,4,MSP,1997,STS-94,STS-94,STS-94,STS-94,376.75,1039.05,0,23.26
334,212,"Gernhardt, Michael L.",male,1956,U.S.,FALSE,NASA Astronaut Group 17,1992,4,MSP,2001,STS-104,STS-104,STS-104,STS-104,306.6,1039.05,16.5,23.26
335,213,"Rominger, Kent V.",male,1956,U.S.,TRUE,NASA-14,1992,5,pilot,1995,STS-73,STS-73,STS-73,STS-73,381,1608,0,0
335,213,"Rominger, Kent V.",male,1956,U.S.,TRUE,NASA-14,1992,5,pilot,1996,STS-80,STS-80,STS-80,STS-80,423,1608,0,0
335,213,"Rominger, Kent V.",male,1956,U.S.,TRUE,NASA-14,1992,5,pilot,1997,STS-85,STS-85,STS-85,STS-85,55,1608,0,0
335,213,"Rominger, Kent V.",male,1956,U.S.,TRUE,NASA-14,1992,5,commander,1999,STS-96,STS-96,STS-96,STS-96,235,1608,0,0
335,213,"Rominger, Kent V.",male,1956,U.S.,TRUE,NASA-14,1992,5,commander,2001,STS-100,STS-100,STS-100,STS-100,285,1608,0,0
336,214,"Coleman, Catherine G.",female,1960,U.S.,TRUE,NASA- 14,1992,3,MSP,1995,STS-73,STS-73,STS-73,STS-73,382,500,0,0
336,214,"Coleman, Catherine G.",female,1960,U.S.,TRUE,NASA- 14,1992,3,MSP,1999,STS-93,STS-93,STS-93,STS-93,119,500,0,0
336,214,"Coleman, Catherine G.",female,1960,U.S.,TRUE,NASA- 14,1992,3,flight engineer,2011,26,Soyuz TMA-20,ISS,Soyuz TMA-20,3823,500,0,0
337,215,"Lopez-Alegria, Michael E.",male,1958,U.S.,TRUE,NASA- 14,1992,4,MSP,1995,STS-73,STS-73,STS-73,STS-73,381,6190.67,0,67.67
337,215,"Lopez-Alegria, Michael E.",male,1958,U.S.,TRUE,NASA- 15,1992,4,MSP,2000,STS-92,STS-92,STS-92,STS-92,309,6190.67,14.05,67.67
337,215,"Lopez-Alegria, Michael E.",male,1958,U.S.,TRUE,NASA- 16,1992,4,MSP,2002,STS-113,STS-113,STS-113,STS-113,330,6190.67,19.92,67.67
337,215,"Lopez-Alegria, Michael E.",male,1958,U.S.,TRUE,NASA- 17,1992,4,flight engineer,2007,14,Soyuz TMA-9,ISS,Soyuz TMA-9,5168,6190.67,33.7,67.67
338,216,"Leslie, Fred Weldon",male,1951,U.S.,FALSE,PS for STS-73,1994,1,PSP,1995,STS-73,STS-73,STS-73,STS-73,382.02,382.02,0,0
339,217,"Sacco, Albert Jr.",male,1949,U.S.,FALSE,PS for STS-73,1994,1,PSP,1995,STS-73,STS-73,STS-73,STS-73,382.02,382.02,0,0
