"Dimensions.Crest Elevation","Dimensions.Crest Length","Dimensions.Structural Height","Identity.Name","Identity.Watercourse","Location.County","Location.Latitude","Location.Longitude","Location.State","Identity.Project.Organization","Identity.Project.Year"
"3548.0","2115.0","564.0","Hungry Horse Dam","South Fork of Flathead River","Flathead","48.3413","-114.013023376","Montana","Hungry Horse","1948"
"10179.0","60.0","52.0","Hunter Creek Diversion Dam","Hunter Creek","Pitkin","39.1226","-106.4046","Colorado","Fryingpan-Arkansas","1976"
"5845.0","2897.0","85.0","Huntington North Dam","Huntington Creek","Emery","39.34173234304089","-110.94749450683594","Utah","Emery County","1964"
"5025.0","775.0","53.0","Hyatt Dam","Keene Creek","Unknown","42.171737","-122.46829","Oregon","Rogue River Basin","1922"
"4680.0","540.0","116.0","Hyrum Dam","Little Bear Water","Cache","41.626630764865375","-111.8717086315155","Utah","Hyrum","1934"
"196.25","3475.0","85.0","Imperial Diversion Dam","Colorado River","Imperial, CA; Yuma, AZ","32.8831","-114.4669","California and Arizona","Boulder Canyon","1936"
"196.25","3475.0","85.0","Imperial Diversion Dam","Colorado River","Imperial, CA; Yuma, AZ","32.8831","-114.4669","California and Arizona","Boulder Canyon","1936"
"196.25","3475.0","85.0","Imperial Diversion Dam","Colorado River","Imperial, CA; Yuma, AZ","32.8831","-114.4669","California and Arizona","Boulder Canyon","1936"
"6312.0","9500.0","94.0","Island Park Dam","Henrys Fork","Fremont","44.4188389","-111.396324","Idaho","Minidoka","1937"
"4886.6","674.0","21.0","Isleta Diversion Dam","Rio Grande","Bernalillo","36.27807901986153","-97.50189279297881","New Mexico","Middle Rio Grande","1934"
"10015.25","83.0","19.75","Ivanhoe Diversion Dam","Ivanhoe Creek","Pitkin","39.17139","-106.33309","Colorado","Fryingpan-Arkansas","1973"
"7831.0","1900.0","180.0","Jackson Gulch Dam","Offstream","Montezuma","37.39845994620459","-108.2740831375122","Colorado","Mancos","1942"
