"groups","claim","status","statistics.sources","date.year","date.month","date.day","statistics.# wounded_low","statistics.# wounded_high","statistics.# killed_low","statistics.# killed_high","statistics.# killed_low_civilian","statistics.# killed_high_civilian","statistics.# killed_low_political","statistics.# killed_high_political","statistics.# killed_low_security","statistics.# killed_high_security","statistics.# belt_bomb","statistics.# truck_bomb","statistics.# car_bomb","statistics.# weapon_oth","statistics.# weapon_unk","target.weapon","target.region","target.subregion","target.country","target.province","target.city","target.location","target.latitude","target.longtitude","target.desc","target.type","target.nationality","statistics.# attackers","statistics.# female_attackers","statistics.# male_attackers","statistics.# unknown_attackers","attacker.gender"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2014","3","7","2","10","0","0","0","0","0","0","0","0","1","0","0","0","0","Belt bomb","Asia","Southern Asia","Afghanistan","Kandahar","Kandahar City","Bagh-e Pol area of Kandahar City, near police patrol","31.61","65.71","Afghan National Police (ANP) patrol","Security","Afghan","1","0","0","1","Unknown"
"Boko Haram (Shekau Faction)","Suspected","Confirmed Suicide","3","2018","1","3","48","65","10","12","10","12","0","0","0","0","0","0","0","1","0","Unspecified PBIED","Africa","Western Africa","Nigeria","Borno","Maiduguri","Market, Inside Muna Garage market","11.833333","13.15","Nigerian marketplace","Civilian","Nigerian","1","1","0","0","Female"
"Tehrik-i-Taliban Pakistan","Claimed","Confirmed Suicide","2","2018","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","Motorcycle bomb","Asia","Southern Asia","Pakistan","Sindh","Karachi","Malir Cantt area via a link road","24.91","67.08","Pakistani SSP Rao Anwar (Survived)","Security","Pakistani","1","0","1","0","Male"
"Al-Qaeda in the Arabian Peninsula","Suspected","Confirmed Suicide","2","2018","1","2","0","0","11","15","0","0","0","0","11","15","0","0","1","0","0","Car bomb","Asia","Western Asia","Yemen","Shabwah","Ataq","Security checkpoint northeast of Ataq","14.536389","46.833056","Yemeni forces backed by UAE at checkpoint in ataq","Security","Yemeni","1","0","0","1","Unknown"
"Unknown Group","Unclaimed","Possible - Too Few Sources","1","2018","1","3","5","5","3","3","0","0","0","0","3","3","0","0","0","1","0","Other VBIED","Asia","Southern Asia","Afghanistan","Kabul","Kabul","Checkpoint near the Kabul Cricket Stadium","34.53","69.17","Afghan Checkpoint near Kabul International Cricket Stadium","Security","Afghan","1","0","0","1","Unknown"
"Islamic State - Khorasan Province","Claimed","Confirmed Suicide","3","2018","1","1","5","8","3","6","0","0","0","0","3","6","0","0","0","1","0","Unspecified","Asia","Southern Asia","Afghanistan","Kabul","Kabul","Marshal Fahim National Defense University (Qargha District)","34.53","69.17","Afghan troops outside Marshal Fahim Military Academy","Security","Afghan","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2018","1","3","0","0","1","1","1","1","0","0","0","0","0","0","0","1","0","Unspecified","Asia","Southern Asia","Afghanistan","Nangarhar","Jalalabad","6th Police District","34.43","70.45","Unknown","Civilian","Afghan","1","0","1","0","Male"
"Yekineyen Parastina Gel","Claimed","Possible - Conflicting Reports","3","2018","1","6","0","0","2","2","0","0","0","0","2","2","0","0","0","1","0","Other PBIED","Asia","Western Asia","Syria","Aleppo (Halab)","Afrin","Hemmam village","36.508333","36.869167","Turkish Army Tank","Security","Turkish","1","1","0","0","Female"
"Islamic State","Claimed","Confirmed Suicide","2","2018","1","2","0","3","0","3","0","0","0","0","0","3","0","0","1","0","0","Car bomb","Asia","Western Asia","Syria","Deir ez-Zor","Gharanij","SDF Forces Staging Area","34.78005","40.71415","Syrian Democratic Forces troops","Security","Syrian","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","2","2018","1","3","3","3","3","3","0","0","0","0","3","3","0","0","1","0","0","Car bomb","Asia","Western Asia","Yemen","Shabwah","Al Said District","Entrance of Saeed district","14.285182","46.865603","Yemeni Military Convoy","Security","Yemeni","1","0","1","0","Male"
"Unknown Group","Unclaimed","Confirmed Suicide","3","2007","4","1","12","12","5","5","3","3","0","0","2","2","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Baghdad","Baghdad","Nisour Square, Harthiyah neighborhood","33.34","44.4","Iraqi Police checkpoint","Security","Iraqi","1","0","0","1","Unknown"
"Islamic State","Claimed","Possible - Conflicting Reports","4","2017","9","6","3","6","1","3","0","2","0","0","1","1","0","0","1","0","0","Car bomb","Asia","Western Asia","Iraq","Al-Anbar","Hit","Jamia Area near Sidiq Mosque","33.64","42.82","Army convoy of Brigade 29 in central Heet","Security","Iraqi","1","0","0","1","Unknown"
