"Year","Data.Meat.Beef","Data.Meat.Lamb","Data.Meat.Pork","Data.Meat.Average","Data.Fuel.Coal","Data.Fuel.Natural gas","Data.Fuel.Petroleum","Data.Fuel.Average","Data.Grain.Corn","Data.Grain.Rice","Data.Grain.Rye","Data.Grain.Wheat","Data.Grain.Average","Data.Metal.Aluminum","Data.Metal.Chromium","Data.Metal.Copper","Data.Metal.Lead","Data.Metal.Manganese","Data.Metal.Nickel","Data.Metal.Steel","Data.Metal.Tin","Data.Metal.Zinc","Data.Metal.Iron ore","Data.Metal.Gold","Data.Metal.Platinum","Data.Metal.Silver","Data.Metal.Average","Data.Plant extract.Cocoa","Data.Plant extract.Coffee","Data.Plant extract.Cotton","Data.Plant extract.Cottonseed","Data.Plant extract.Palm oil","Data.Plant extract.Rubber","Data.Plant extract.Sugar","Data.Plant extract.Tea","Data.Plant extract.Tobacco","Data.Plant extract.Average"
"1960","270.7812035","172.2075237","47.39642636","163.46171785333334","123.9511786","53.36600375","147.2263803","108.18118755","82.64720878","46.28255691","48.38048414","77.22019048","63.632610077500004","21.85069769","42.20362689","54.40245628","75.15024913","112.7534275","40.72248481","96.95312467","93.24139236","70.35750509","97.6467884","47.40336418","121.2399905","38.76238944","70.20673053384616","46.45743324","122.7944132","86.730686","114.8534308","68.46309541","18.10326001","30.49122367","88.60402632","238.7336606","90.58124769444444"
"1961","248.2001882","139.4299258","51.04670133","146.22560511000003","119.8425524","56.60455372","145.7501799","107.39909533999999","80.47043961","50.19820281","54.84618997","80.89519987","66.602508065","21.21550048","34.00735294","50.27778304","67.6735701","121.2747257","42.54010695","95.9810011","103.1091558","60.71163658","105.6977472","46.57159187","120.4450652","43.3698711","70.22116215846154","37.36680589","117.8808157","88.17524773","95.87728195","68.98468381","13.81188572","27.10425798","81.07681158","212.7068992","82.55385439555556"
"1962","256.9901485","130.8287849","49.69539521","145.83810953666668","115.9200067","59.699784","144.1125375","106.57744273333333","79.58092507","55.50912043","50.84728098","79.7213585","66.414671245","19.66108498","60.04508545","50.84216725","59.27886622","102.153867","43.04031725","94.90256288","103.1549445","52.1660322","100.9615953","46.03421692","119.0917499","49.77366935","69.3158584","35.35718062","108.3632597","84.21970933","88.86341363","64.57214575","12.80103511","27.80648949","81.9542861","189.0200556","76.99528614777778"
"1963","236.9752261","156.8379779","40.89501697","144.90274032333332","112.0114186","58.99789236","142.4182033","104.47583808666666","87.25820184","51.44480138","57.30667991","76.04834093","68.014506015","18.37305253","55.06671643","50.24441479","67.76826735","86.10902135","42.05094709","94.77749695","103.721827","58.56185265","104.2995122","45.34883993","114.0703964","53.04479038","68.72593346538461","42.14201543","103.6357419","82.75100314","92.95209352","65.63009844","11.70224808","81.62938949","79.32043309","178.6485266","82.04572774333332"
"1964","295.0972287","171.4988317","39.98852295","168.86152778333334","112.0386561","54.57970504","139.3534622","101.99060778","85.89099426","48.84549714","54.45506023","63.92305556","63.2786517975","19.0128879","58.08664426","51.78430149","81.64087007","89.32203822","41.4953271","96.6209819","138.2813366","88.76208031","105.6004827","44.8480015","123.0641492","52.34390852","76.22023152076923","38.07672978","128.1606187","82.26052398","85.21097492","69.73070848","10.86380489","55.53346651","76.14498845","195.2720582","82.36154154555555"
"1965","304.1963223","129.22187","53.30549255","162.24122828333333","109.9101559","57.24066742","135.8501419","101.00032174","87.56643419","47.47353449","50.29725087","58.12785821","60.866269439999996","19.3245115","59.87461525","55.78957606","94.43537847","85.64175683","40.79847909","94.9983862","153.7330369","83.77271937","101.5222609","44.16399988","134.0719159","51.46487584","78.4301163223077","27.04177948","124.8342932","79.33286991","83.06848477","78.02800794","10.99385178","19.11156525","80.7832053","163.2396539","74.04819017"
"1966","342.9748286","128.0292141","53.80261749","174.93555339666668","109.5042903","55.65358792","133.0258787","99.39458563999999","89.84948247","56.12271457","53.05716355","61.74191108","65.19281791750001","18.78871173","54.18427075","56.0238864","86.76581042","87.27539599","39.66728281","91.74138835","137.6193165","73.35291241","101.3751786","42.9091595","132.4209743","50.03793843","74.78170970692307","37.25515733","112.6827781","75.30444743","113.9707226","65.59745289","9.983992623","16.72910597","68.65494462","198.3239579","77.61139549588887"
"1967","339.4462743","133.0029921","45.94674129","172.79866923","108.2894932","54.08728934","133.4216994","98.59949397999999","82.052342","72.76086566","52.05039024","52.22240274","64.77150016","18.63267887","57.4465355","57.54798358","78.07720035","83.31389753","42.98203593","89.6135679","125.0734974","68.96032162","99.97400943","44.84865537","142.4589342","77.47652842","75.87737277692307","41.83618931","101.903924","79.49929372","92.77885608","60.45357515","8.027395446","17.17721867","63.80749141","158.3936694","69.31973479844446"
"1968","339.5822942","145.3166767","45.82399658","176.90765582666666","105.2769808","51.91136391","129.5308964","95.57308037","69.56155879","64.67254073","46.68823273","44.18036811","56.27567509000001","18.31192627","57.64162562","60.462495","70.70890971","71.88479022","44.44252874","89.20468337","115.9068196","63.95155021","97.34556126","49.32966411","145.1011126","70.7138676","73.4619641776923","48.39476919","98.12027987","77.20142569","81.46452636","43.83883434","7.546300228","16.43718318","54.83659832","140.9119551","63.19465247533333"
"1969","363.1444063","144.8503358","57.34111798","188.44528669333337","106.710613","52.34313282","127.4300172","95.49458767333333","71.39935076","55.50197699","44.7504228","43.55238114","53.8010329225","18.46446601","54.70216993","65.16748758","75.68709526","61.88700735","46.81756204","90.44643598","122.1353403","66.11894142","96.34868784","42.86741404","146.1363437","61.90085413","72.97536966","57.19276067","94.16107445","67.10755197","62.91979726","44.63011334","9.4120265","26.25970109","50.47616159","123.5021834","59.51793003"
